0-0-0	912.55	1098.40
0-1-0	892.45	1066.40
10-0-0	874.70	1093.25
10-0-1	898.60	1090.75
10-1-0	913.85	1096.00
10-1-1	883.05	1106.25
2-0-0	901.20	1093.35
4-0-0	884.10	1104.40
4-1-0	906.25	1122.25
6-0-0	903.15	1092.95
6-1-0	899.00	1095.90
8-0-0	926.70	1090.00
8-0-1	878.85	1075.80
8-1-0	907.70	1078.35
8-1-1	873.85	1068.15
