0-0-0		588.00	 	1485.20
0-1-0		624.20	 	597.40
2-0-0		610.60	 	1330.00
4-0-0		581.00	 	1461.40
4-1-0		600.60	 	1321.20
6-0-0		576.60	 	606.40
6-1-0		582.40	 	592.00
8-0-0		619.60	 	1494.20
8-0-1		604.00	 	588.60
8-1-0		593.40	 	1487.60
8-1-1		605.80	 	610.00
10-0-0		578.60	 	1488.00
10-0-1		587.20	 	1315.40
10-1-0		600.20	 	715.20
10-1-1		578.80	 	640.20
